percent_adult_covid_admissions,percent_pediatric_covid_admissions,percent_hospitals_previous_day_admission_adult_covid_confirmed,percent_hospitals_previous_day_admission_pediatric_covid_confirmed,percent_hospitals_previous_day_admission_influenza_confirmed,percent_hospitals_total_patients_hospitalized_confirmed_influenza,percent_hospitals_icu_patients_confirmed_influenza,percent_hospitals_inpatient_beds,percent_hospitals_total_icu_beds,percent_hospitals_inpatient_beds_used,percent_hospitals_icu_beds_used,percent_hospitals_percent_inpatient_beds_occupied,percent_hospitals_percent_staff_icu_beds_occupied,percent_hospitals_percent_inpatient_beds_covid,percent_hospitals_percent_inpatient_beds_influenza,percent_hospitals_percent_staff_icu_beds_covid,percent_hospitals_percent_icu_beds_influenza,percent_hospitals_admissions_all_covid_confirmed,percent_hospitals_total_patients_hospitalized_covid_confirmed,percent_hospitals_staff_icu_patients_covid_confirmed,avg_total_patients_hospitalized_covid_confirmed,avg_total_patients_hospitalized_influenza_confirmed,avg_staff_icu_patients_covid_confirmed,avg_icu_patients_influenza_confirmed,avg_inpatient_beds,avg_total_icu_beds,avg_inpatient_beds_used,avg_icu_beds_used,avg_percent_inpatient_beds_occupied,avg_percent_staff_icu_beds_occupied,avg_percent_inpatient_beds_covid,avg_percent_inpatient_beds_influenza,avg_percent_staff_icu_beds_covid,avg_percent_icu_beds_influenza,total_admissions_all_influenza_confirmed,total_admissions_all_covid_confirmed,total_admissions_pediatric_covid_confirmed,total_admissions_adult_covid_confirmed,latitude,longitude,year,month,day
0.9604,0.0396,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,758.0,453.0,110.0,63.0,24633.0,4144.0,19201.0,2893.0,0.7793,0.698,0.0308,0.0184,0.0265,0.0151,21.0,985.0,39.0,946.0,40.367474,-82.996216,2022.0,6.0,18.0
0.9814,0.0186,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,1420.0,4.0,430.0,1.0,10370.0,2062.0,7003.0,1251.0,0.6753,0.6068,0.1369,0.0004,0.2085,0.0007,5.0,1396.0,26.0,1370.0,39.113014,-105.358887,2020.0,12.0,26.0
0.9794,0.0206,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,96.0,7.0,11.0,1.0,19840.0,2850.0,14998.0,2014.0,0.7559,0.7066,0.0048,0.0004,0.004,0.0004,3.0,97.0,2.0,95.0,44.182205,-84.506836,2023.0,7.0,29.0
0.9762,0.0238,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,0.2265,64.0,3.0,8.0,1.0,7165.0,1065.0,5015.0,745.0,0.6998,0.6992,0.009,0.0004,0.0074,0.0008,3.0,126.0,3.0,123.0,40.367474,-82.996216,2024.0,7.0,27.0
0.9669,0.0331,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,0.9626,202.0,27.0,29.0,5.0,17619.0,3345.0,12701.0,2189.0,0.7209,0.6544,0.0114,0.0015,0.0087,0.0016,22.0,181.0,6.0,175.0,35.860119,-86.660156,2023.0,4.0,29.0
0.9278,0.0722,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,1063.0,38.0,146.0,1.0,19753.0,2919.0,15504.0,2124.0,0.7847,0.7276,0.0538,0.0019,0.05,0.0002,9.0,1080.0,78.0,1002.0,44.182205,-84.506836,2022.0,9.0,17.0
0.9163,0.0837,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,204.0,135.0,23.0,22.0,9270.0,1382.0,7482.0,1050.0,0.8071,0.7599,0.022,0.0146,0.017,0.0156,172.0,239.0,20.0,219.0,46.39241,-94.63623,2024.0,2.0,24.0
0.9628,0.0372,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,2649.0,27.0,542.0,2.0,17129.0,3292.0,12677.0,2332.0,0.7401,0.7084,0.1546,0.0016,0.1646,0.0007,24.0,1855.0,69.0,1786.0,35.860119,-86.660156,2022.0,2.0,19.0
0.9715,0.0285,0.9714,0.9714,0.9714,0.9714,0.9714,0.9714,0.9714,0.9714,0.9686,0.9714,0.9686,0.9714,0.9714,0.9714,0.9714,0.9714,0.9714,0.9714,969.0,37.0,127.0,1.0,59376.0,9684.0,45320.0,6422.0,0.7632,0.6639,0.0163,0.0006,0.0131,0.0001,45.0,1192.0,34.0,1158.0,36.778259,-119.417931,2023.0,6.0,10.0
0.9437,0.0563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,705.0,8.0,106.0,1.0,6923.0,870.0,4798.0,663.0,0.6932,0.7617,0.1017,0.0013,0.1222,0.0015,16.0,782.0,44.0,738.0,42.032974,-93.581543,2022.0,2.0,12.0
