weeklyrate
3.0
3.3
2.4
4.6
9.5
2.2
5.3
5.1
5.2
9.4
4.1
10.6
6.2
13.6
1.9
3.0
1.4
12.4
3.3
10.3
3.0
22.2
6.2
10.3
2.1
2.5
5.1
4.9
8.2
19.9
7.8
7.5
1.8
6.7
4.6
8.5
1.4
4.6
9.5
0.7
3.5
6.0
6.8
4.6
13.5
1.1
9.9
7.5
3.6
9.1
2.0
8.2
1.7
4.5
5.9
1.4
2.9
10.6
7.7
3.2
11.6
2.7
7.3
1.9
4.5
2.2
4.0
7.7
4.6
20.8
5.2
3.6
8.3
5.4
7.7
28.9
2.4
30.8
2.4
7.5
1.2
7.5
8.5
22.3
12.9
5.8
10.9
1.1
3.0
17.4
24.0
4.5
8.2
4.3
0.9
5.6
3.6
21.9
0.7
1.5
3.0
0.9
18.1
11.3
7.7
11.2
2.9
7.9
5.6
4.6
10.6
5.1
23.2
3.3
3.2
5.7
2.2
2.4
4.5
6.3
4.9
5.4
9.6
1.8
3.2
8.1
5.4
4.4
2.6
12.5
7.3
4.7
10.4
5.8
8.3
3.7
12.9
8.8
3.5
8.0
3.1
16.1
6.2
2.6
1.5
4.7
15.1
6.9
11.5
6.5
8.2
8.0
7.1
6.1
5.4
2.1
24.3
3.9
2.2
5.5
14.6
3.7
33.1
35.9
0.9
2.6
4.4
1.5
4.2
5.0
1.7
12.0
13.9
7.9
3.0
1.7
17.1
23.2
8.5
6.6
9.7
3.9
4.0
20.4
10.0
1.8
2.2
7.8
28.3
7.6
4.1
2.2
9.4
51.1
2.0
3.9
4.7
27.8
9.4
23.8
31.3
20.6
1.4
9.1
4.4
1.5
4.8
9.2
2.2
5.1
12.1
15.4
1.8
19.2
16.4
1.2
1.3
9.2
11.5
4.0
1.4
18.0
3.3
5.1
1.6
0.9
3.9
9.5
4.6
16.8
6.8
8.2
14.2
6.2
9.9
3.2
5.5
14.4
2.0
2.7
11.4
16.3
6.2
3.1
6.9
6.9
25.4
9.0
3.4
6.5
4.3
0.6
3.9
7.7
7.6
4.6
5.4
5.8
1.7
13.2
1.2
21.7
7.1
8.7
11.4
6.0
22.2
0.8
4.2
6.7
8.1
12.6
4.8
5.6
2.9
15.5
9.4
4.4
7.2
2.6
12.3
9.4
7.8
16.2
4.4
11.0
2.1
5.6
7.1
1.7
16.4
6.1
7.0
1.4
3.6
8.9
3.3
12.1
6.4
4.9
2.5
2.8
1.6
5.1
2.9
3.1
2.2
11.1
2.7
3.2
15.8
6.5
7.3
7.2
11.4
3.5
39.3
25.4
1.2
10.5
5.1
5.3
1.6
2.5
5.3
10.1
4.9
1.5
3.4
37.0
6.1
14.1
0.7
6.2
2.2
1.9
1.3
3.1
17.7
30.0
9.9
2.8
6.2
10.2
5.1
2.2
9.5
30.9
6.9
20.4
11.7
1.9
5.6
2.9
6.3
13.2
8.5
6.3
4.3
2.0
10.9
8.3
4.0
8.8
3.9
4.3
5.6
7.5
2.2
5.7
4.1
3.5
6.6
22.1
8.1
4.2
20.2
9.1
3.3
1.5
6.9
7.6
1.3
4.9
5.6
2.8
7.0
15.7
10.0
3.9
1.9
15.0
5.7
2.4
22.9
7.0
18.6
9.1
0.9
33.4
14.6
9.6
9.6
3.5
4.5
6.0
4.1
3.4
1.9
2.7
2.6
8.6
2.2
7.8
8.8
4.3
1.3
8.1
3.9
10.7
4.4
2.0
25.8
3.3
8.0
6.2
3.3
8.4
8.0
8.8
2.2
14.0
1.9
2.6
13.3
9.3
23.8
5.2
2.3
1.9
1.5
21.9
5.4
11.8
32.9
4.9
2.2
4.4
3.1
7.8
6.2
29.5
3.8
5.3
1.3
5.6
4.8
2.7
8.6
4.8
0.9
1.2
4.8
12.1
5.1
1.5
20.2
1.8
10.3
22.9
4.9
28.6
1.0
5.7
10.2
20.6
1.2
7.5
7.9
10.0
2.6
3.8
1.8
13.2
6.5
4.3
6.1
7.6
5.5
7.9
3.6
6.5
5.4
23.8
18.1
8.4
15.1
2.7
15.1
58.2
18.3
3.9
4.9
2.0
5.7
8.8
12.7
12.4
11.0
4.4
12.3
13.3
19.3
5.3
2.6
8.1
4.5
8.9
6.2
3.1
4.3
2.8
2.9
8.4
5.0
4.2
6.3
3.4
1.5
1.7
34.2
0.6
28.8
10.4
10.7
4.2
1.7
1.7
8.2
16.6
3.0
14.1
3.1
10.7
2.6
1.9
7.1
23.0
2.2
6.8
19.8
4.9
12.6
2.0
1.4
9.7
3.7
6.1
21.0
2.2
2.4
4.9
23.0
5.3
11.2
1.7
7.0
6.2
1.7
38.8
9.6
12.1
4.6
18.8
16.9
2.8
8.8
12.1
20.5
1.1
2.6
19.1
34.6
3.8
10.8
19.9
12.2
4.3
14.1
2.5
3.3
3.5
5.1
4.3
11.5
4.8
13.2
9.3
3.5
2.4
5.1
7.1
4.8
4.2
9.9
9.5
4.3
3.7
13.4
26.1
4.9
6.4
3.2
2.7
4.6
7.8
6.3
9.9
9.7
8.1
2.6
18.5
33.9
4.7
20.1
10.7
4.1
6.2
3.8
3.3
12.8
6.0
3.6
5.3
3.3
5.7
1.0
26.8
15.0
3.4
10.7
1.2
1.4
9.6
1.0
6.2
3.1
13.8
10.1
10.0
9.0
2.3
7.1
4.8
5.1
3.9
6.2
2.2
1.5
1.9
24.1
8.7
5.2
5.8
11.3
3.4
6.5
1.7
3.1
26.4
5.5
7.5
4.9
3.4
5.6
2.6
7.0
1.9
21.7
14.7
3.5
9.2
6.7
3.7
10.1
0.5
7.2
2.4
15.4
1.9
8.7
7.9
11.4
8.3
9.4
5.4
3.2
4.7
0.8
7.0
6.2
3.8
5.0
1.6
8.4
5.3
4.4
10.1
3.6
1.0
2.8
13.8
14.1
6.6
14.3
4.6
5.2
4.7
2.7
5.6
3.8
4.0
2.7
2.5
2.9
5.9
21.0
7.6
2.2
9.6
5.8
19.7
9.4
4.6
4.8
15.5
6.4
2.1
40.7
12.6
2.8
7.0
7.3
1.0
1.5
4.1
5.1
8.5
2.9
11.7
4.7
19.7
0.2
8.5
2.8
3.7
3.2
3.9
66.6
13.2
2.3
0.9
7.0
9.1
6.3
12.8
4.8
1.6
4.4
6.4
5.9
5.8
6.2
3.3
4.8
1.0
7.1
2.2
21.8
3.0
14.7
10.2
5.9
6.6
1.9
4.5
29.6
10.1
6.6
8.2
7.8
3.7
5.0
30.1
2.3
8.7
2.4
5.9
3.3
2.5
1.4
7.5
17.7
6.5
4.1
1.0
6.3
19.8
9.8
2.8
4.6
2.9
4.0
4.3
1.2
8.3
2.2
10.2
6.0
1.8
6.4
4.7
1.6
12.4
12.4
17.9
2.7
1.9
5.1
11.6
0.5
24.6
5.7
4.0
0.6
4.6
1.3
8.7
8.9
5.9
1.9
9.7
6.7
1.1
13.3
11.2
3.8
11.6
3.7
12.4
56.6
0.7
5.0
16.9
2.9
4.9
5.1
13.7
3.2
2.7
7.9
27.4
31.3
4.7
31.4
3.1
0.7
10.7
4.8
5.2
2.5
0.7
5.6
4.3
4.5
2.2
9.6
1.1
11.4
2.9
2.6
6.9
5.5
4.2
13.0
3.9
6.6
6.3
3.1
7.8
1.4
1.1
8.1
5.1
7.4
9.1
1.4
0.8
5.3
17.3
8.5
2.4
7.6
14.6
11.2
0.8
7.8
17.8
11.9
12.1
11.3
5.7
8.5
28.9
3.3
4.2
5.1
11.7
4.2
5.5
8.2
6.2
3.9
10.1
4.5
2.0
2.5
3.4
4.5
7.9
3.2
24.4
7.0
26.1
8.2
0.9
3.5
6.0
23.7
3.7
5.7
9.3
1.1
5.0
1.1
5.4
10.3
5.7
1.7
13.0
9.8
10.5
20.9
3.1
8.8
1.4
3.9
4.1
3.1
4.0
2.7
5.0
7.6
1.5
12.5
3.0
10.9
11.5
9.4
9.8
7.5
9.1
0.5
21.1
10.0
3.3
1.9
5.3
4.8
5.9
5.6
0.9
5.1
1.0
5.0
12.0
13.6
27.8
4.8
4.5
3.1
9.6
5.5
4.3
3.0
10.9
2.8
1.6
20.7
5.6
1.5
4.7
10.7
8.9
